Surge (m),Sway (m),Heave (m),Roll (deg),Pitch (deg),Yaw (deg),Vessel x0Acc rel. g (m/s^2),Vessel y0Acc rel. g (m/s^2),Vessel z0Acc rel. g (m/s^2),Vessel x0Ang Vel (deg/s),Vessel y0Ang Vel (deg/s),Vessel z0Ang Vel (deg/s),Num Category
0.004031774,0.161964998,27.43123194,0.978886597,0.028664129,0.004099526,0.004189529,0.242754863,9.842035565,0.245364007,0.029520895,0.024743979,3
0.007230039,0.072669211,27.50949941,0.823277385,0.041382909,0.015927781,0.007777086,0.175030933,9.802785694,0.372342266,0.020118464,0.022754512,3
0.010268482,0.025246211,27.58723653,0.612108373,0.048722421,0.026035107,0.009977706,0.100522685,9.765759099,0.466201979,0.008477469,0.017667296,3
0.012892671,0.122226673,27.65499729,0.363769419,0.049917043,0.033193349,0.010893261,0.021334491,9.733811509,0.520252414,0.003971952,0.010780125,2
0.014910343,0.209178668,27.70472906,0.099036329,0.044917115,0.036633506,0.010610532,0.056075099,9.71034516,0.531601841,0.015886815,0.002807052,2
0.016177908,0.278139534,27.73062039,0.160732481,0.034374331,0.036016024,0.008965357,0.122825386,9.698356076,0.500787656,0.025867697,0.00515179,2
0.016643692,0.323344478,27.72977031,0.395344663,0.019588356,0.031533156,0.006566606,0.177740886,9.698007307,0.431940496,0.032802054,0.012334165,2
0.016288109,0.341118229,27.70227666,0.587457687,0.002298759,0.023659418,0.003465863,0.213240678,9.709931476,0.332124298,0.035960763,0.018288635,2
0.015162864,0.330783014,27.65125413,0.723777964,0.015471833,0.013249149,0.000207617,0.225435625,9.732767191,0.210388343,0.034894886,0.022115082,2
0.01343275,0.295065203,27.58243234,0.795939126,0.031625287,0.001586058,0.003936579,0.21591212,9.763114971,0.077279015,0.029694211,0.023185176,2
0.011342466,0.239436436,27.50330684,0.801026123,0.044260546,0.009816967,0.007221829,0.188300499,9.796740295,0.056088973,0.020988374,0.021226527,2
0.009156092,0.170919571,27.42207273,0.741668738,0.051938553,0.019507981,0.009204321,0.151596369,9.828349013,0.17876366,0.010000171,0.016814832,2
0.007036035,0.096254397,27.34644546,0.625709681,0.053924824,0.026550116,0.009792346,0.107804351,9.85515931,0.281083522,0.001710505,0.011113526,2
0.005039939,0.021472167,27.28294675,0.465255678,0.050227033,0.030529975,0.009133285,0.059747598,9.87503488,0.355737196,0.012690837,0.004932188,2
0.003152834,0.048327975,27.23640612,0.275428205,0.041532466,0.031466014,0.007311815,0.01184084,9.886582781,0.398042027,0.021636542,0.00083675,2
0.001302554,0.109230371,27.20967903,0.072920901,0.029075642,0.029742489,0.005022966,0.036550956,9.890564009,0.406460662,0.027694196,0.005779176,2
0.000552691,0.157976936,27.20374907,0.125558314,0.014393545,0.025807913,0.002370327,0.078568652,9.886678965,0.382344331,0.030463357,0.00979614,2
0.002445033,0.192649846,27.21771845,0.304569021,0.000836631,0.020259243,0.000451702,0.110465891,9.876077788,0.329392436,0.029828497,0.012363677,2
0.004413037,0.212892563,27.24906641,0.451095255,0.014989906,0.013851112,0.002834584,0.133364836,9.861198264,0.253529498,0.026169338,0.013413714,2
0.006446076,0.219309597,27.2941731,0.555465508,0.026717029,0.007271256,0.004677837,0.14438429,9.843511737,0.162029229,0.020188914,0.013095778,2
0.008500095,0.213558119,27.34870964,0.611810673,0.035053875,0.001157803,0.005839856,0.143653154,9.824971666,0.06273993,0.012742369,0.011505694,3
0.01051389,0.198210195,27.40807708,0.618200689,0.03948494,0.003910107,0.006418461,0.130668636,9.806979659,0.036559251,0.004741179,0.008765029,3
0.012440627,0.176625999,27.467796,0.576458521,0.039939841,0.007384031,0.006218262,0.110730696,9.791789325,0.12865395,0.002937054,0.005049508,2
0.014203193,0.151836073,27.52405731,0.491849873,0.036814696,0.008991356,0.004943995,0.089735923,9.781100131,0.207072913,0.009346671,0.001365183,2
0.015633701,0.125602162,27.57410587,0.372504884,0.030931475,0.00895647,0.003306975,0.063672507,9.773895554,0.266973739,0.013847206,0.001553519,2
0.016574291,0.099272604,27.61610404,0.228511076,0.023321132,0.00766115,0.001483196,0.036338552,9.770577409,0.305275038,0.016201219,0.003613206,2
0.016889023,0.073494181,27.64918506,0.071148847,0.015097361,0.005634865,0.00050166,0.011086058,9.77094494,0.320317116,0.016313717,0.004329823,2
0.016444721,0.048012592,27.67337719,0.087920223,0.007332716,0.003573639,0.002002183,0.015414434,9.773070277,0.312278517,0.014468922,0.003741732,2
0.015192274,0.022610594,27.68921137,0.237529006,0.000868542,0.002019968,0.003036314,0.039410918,9.776651068,0.282837173,0.011219429,0.002263805,2
0.013145413,0.003093487,27.69758089,0.367619431,0.003738635,0.00140547,0.003649711,0.059308929,9.780864447,0.234755149,0.007137318,1.90E-05,2
0.010353674,0.02958144,27.69952704,0.469809226,0.006248107,0.002066459,0.003540608,0.077963443,9.784074542,0.171968022,0.002922102,0.00270063,2
0.006955782,0.056498085,27.69586464,0.537927183,0.006791734,0.004002105,0.002547945,0.096882212,9.785367468,0.099311571,0.000650282,0.004894537,2
0.003218141,0.082086012,27.68697417,0.568338493,0.00585755,0.006731009,0.000996865,0.112701808,9.785465373,0.02199247,0.002952424,0.005723674,2
0.000522895,0.103802352,27.67295066,0.559987627,0.004145328,0.009499302,0.000513506,0.120708499,9.785717454,0.05491891,0.003761523,0.00505557,2
0.003960434,0.119263582,27.65387853,0.514322583,0.002383773,0.011600406,0.001852286,0.121290245,9.786500532,0.126464474,0.003145884,0.003080822,2
0.006845053,0.126513009,27.62999196,0.435188545,0.001209677,0.012461424,0.002487798,0.109809646,9.789559944,0.18812326,0.001453774,0.000275474,2
0.009066488,0.125009426,27.6020147,0.328500029,0.001008694,0.011921607,0.002457046,0.089110683,9.794584088,0.236085675,0.000698164,0.002382531,2
0.010620272,0.11519802,27.57111344,0.20198102,0.00191122,0.010081912,0.002491434,0.066617134,9.800178903,0.266968589,0.002935368,0.004998635,2
0.011484791,0.097633671,27.53871632,0.064710986,0.003862758,0.006945246,0.001626288,0.031000183,9.809100495,0.27899938,0.004762377,0.007350986,2
0.011800775,0.075359515,27.50699502,0.07389024,0.006461175,0.003077233,0.000351658,0.016400469,9.820258172,0.272422389,0.005391738,0.00768632,2
0.011921971,0.053938914,27.47862851,0.204757559,0.009025412,0.000317584,0.002156515,0.059968112,9.829205155,0.248305551,0.00462188,0.005575892,2
0.012189152,0.038641892,27.45586435,0.319614247,0.010911878,0.002192893,0.00351499,0.096059875,9.834448337,0.208864037,0.002740552,0.001729759,2
0.0128474,0.033367672,27.44000756,0.411605609,0.01167583,0.001910347,0.003812361,0.115795558,9.833482528,0.157431605,0.000302036,0.002802953,2
0.013933061,0.039076086,27.43085881,0.475684576,0.011247856,0.000404437,0.002873671,0.117487121,9.826190795,0.09793344,0.001829568,0.006161303,2
0.015255745,0.053720276,27.42668432,0.509003733,0.009941385,0.003923358,0.001713883,0.110695834,9.815472282,0.0352376,0.003113693,0.007685762,2
0.016572758,0.074052272,27.42478751,0.511195477,0.008261517,0.007771771,9.90E-05,0.090369532,9.801484023,0.025879663,0.003245471,0.007418589,2
0.017546047,0.094920883,27.42167316,0.484032134,0.006887071,0.010878617,0.002072508,0.057021257,9.786429009,0.081599156,0.001893568,0.004598727,2
0.017715961,0.109502821,27.41363257,0.431090351,0.006549272,0.011959856,0.003660091,0.024394492,9.77554596,0.128447817,0.00073302,0.000531598,2
0.016704916,0.111974921,27.39794168,0.357546849,0.007711826,0.010202497,0.004290304,0.003660134,9.771375046,0.163664686,0.003890014,0.006580934,2
0.014297222,0.098399874,27.37353998,0.269603121,0.010434742,0.0053986,0.004268654,0.028477514,9.774647165,0.185950379,0.006794822,0.012659531,2
0.010388812,0.066423167,27.34126798,0.1737866,0.014389134,0.002338318,0.003405652,0.044480068,9.786646028,0.195204192,0.008663567,0.01818085,2
0.005042152,0.01627355,27.30415159,0.076473739,0.018826983,0.012457727,0.001249161,0.044238456,9.807756152,0.192107795,0.008615008,0.021902224,2
0.00139442,0.047900062,27.26742942,0.016523617,0.022587829,0.023661968,0.001911699,0.029569461,9.834989859,0.178313974,0.005947779,0.022291224,2
0.008316175,0.118705951,27.23780045,0.100543306,0.024321005,0.034110685,0.004923321,0.010712127,9.862670808,0.156777427,0.000634896,0.018936128,2
0.015063948,0.187929317,27.22208583,0.172636086,0.022866526,0.04212142,0.007019844,0.007596625,9.886286071,0.131219407,0.006614818,0.012748299,2
0.021052382,0.247798536,27.22612241,0.231654323,0.017514928,0.046503236,0.008301705,0.027981358,9.903318354,0.104955448,0.014797698,0.004560171,2
0.025742736,0.290753407,27.25406029,0.277888728,0.008086621,0.046360679,0.008521567,0.04605558,9.910288093,0.080428886,0.02277704,0.005135351,2
0.028693107,0.310454006,27.30753754,0.312650975,0.004964959,0.04121088,0.007151616,0.054060017,9.904234643,0.059233828,0.029155286,0.015104797,2
0.029676452,0.303352382,27.38503364,0.337722439,0.020498648,0.031290551,0.004583767,0.053061316,9.885759221,0.041545549,0.032651946,0.023965568,2
0.028660097,0.268685637,27.48194248,0.35458807,0.036851065,0.017388208,0.001145377,0.040940518,9.855980418,0.026119104,0.032431416,0.030834022,2
0.02580337,0.208892347,27.59087255,0.363934997,0.052030273,0.000801241,0.003064849,0.014361904,9.817042764,0.011116524,0.027992933,0.034503311,2
0.021494709,0.130121967,27.70224748,0.365443855,0.063933872,0.016600053,0.007174281,0.020552767,9.774232212,0.00561307,0.019439102,0.034118799,2
0.016254066,0.041035116,27.80552638,0.357752102,0.070699341,0.032757027,0.010566818,0.059879596,9.732562762,0.025913099,0.007580169,0.029684896,2
